lon,lat,xcoord,ycoord
273963.2646,611304.801,22.0291900001235,46.9632600000414
276492.6839,653261.0075,22.0417285001348,47.3411709997357
281689.8897,659832.9696,22.1072467001638,47.4019656002223
282862.7117,661219.6184,22.1220990006431,47.4148132996872
287079.7137,665865.0868,22.1757227994285,47.4579341003926
536384.9521,416826.7471,25.4635778994917,45.250551699839
462492.9967,418857.6653,24.52197222164,45.2687694437368
461761.0913,418928.1275,24.5126388888261,45.2693638893569
461783.0808,427909.4972,24.5122222224764,45.3501916671138
318302.4864,330168.6715,22.7170861108089,44.4484694437033
801873.1946,353934.6538,28.8046916673494,44.6213305561717
533850.5945,310767.7677,25.4241670000248,44.2961999999403
503672.5551,315009.8502,25.0460499998315,44.3351669999627
543696.6629,312067.8474,25.5476500000218,44.307367000119
543285.7788,244431.2137,25.5368829994881,43.6987330002329
