lon,lat,xcoord,ycoord
498484.1165,566353.5989,24.9802129999334,46.5970669997989
497147.9638,570761.1421,24.9627449994271,46.6367200002205
497091.5059,570523.7711,24.9620089996072,46.6345839997438
497078.1177,570543.1161,24.9618340000923,46.6347579996444
501008.7768,570187.4002,25.0131759998254,46.6315630002445
501009.3433,572303.4218,25.0131879999484,46.6506020001526
491423.3549,555219.5803,24.8882530005339,46.4968330001296
486353.5573,558460.2834,24.8221029999777,46.5259090002758
486737.9723,558399.4184,24.8271159995108,46.5253690001306
485641.2964,558327.2231,24.8128219995802,46.5246969999226
498134.7844,557141.615,24.9756900001946,46.5141789999936
494428.7826,560693.8568,24.9273460000901,46.5461210000203
494944.2978,560399.4446,24.934071999564,46.5434760002329
498011.2369,560839.3327,24.9740639999125,46.5474499998839
498016.452,560842.1095,24.9741319996279,46.5474750002188
